Class,Number of files
violin,1502
viola,974
tuba,972
bass-clarinet,944
cello,889
flute,878
double-bass,852
clarinet,846
trombone,831
saxophone,733
bassoon,720
contrabassoon,710
english-horn,691
french-horn,652
oboe,596
trumpet,485
guitar,106
mandolin,80
banjo,74
bass-drum,18
snare-drum,12
tambourine,11
clash-cymbals,7
spring-coil,5
triangle,5
castanets,4
Chinese-hand-cymbals,4
cowbell,4
djundjun,4
guiro,4
sleigh-bells,4
surdo,4
suspended-cymbal,4
tam-tam,4
whip,4
bell-tree,3
djembe,3
lemon-shaker,3
swanee-whistle,3
Thai-gong,3
train-whistle,3
vibraslap,3
washboard,3
agogo-bells,2
banana-shaker,2
cabasa,2
Chinese-cymbal,2
flexatone,2
ratchet,2
sheeps-toenails,2
strawberry-shaker,2
tenor-drum,2
tom-toms,2
woodblock,2
motor-horn,1
sizzle-cymbal,1
squeaker,1
wind-chimes,1
